kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(ns),task_stop(ns)
0_11_discriminator/resblock_down_8/skip/conv_0/truediv,kernel AI core task,227,118,"""20.72""","""1619057109860834396""","""1619057109860855116"""
0_11_discriminator_1/resblock_down_8/skip/conv_0/truediv,kernel AI core task,227,119,"""21.3""","""1619057109860855216""","""1619057109860876516"""
0_11_gradients/discriminator/resblock_down_8/skip/conv_0/truediv_grad/Neggradients/discriminator/resblock_down_8/skip/conv_0/truediv_grad/RealDiv_1gradients/discriminator/resblock_down_8/skip/conv_0/truediv_grad/RealDiv_2,kernel AI core task,227,120,"""39.36""","""1619057109860876626""","""1619057109860915986"""
0_11_trans_Cast_2127,kernel AI core task,227,121,"""10.22""","""1619057109860916086""","""1619057109860926306"""
0_11_trans_Cast_1734,kernel AI core task,227,122,"""10.4""","""1619057109860926406""","""1619057109860936806"""
0_11_trans_TransData_2128,kernel AI core task,227,123,"""424.26""","""1619057109860936916""","""1619057109861361176"""
0_11_trans_TransData_1735,kernel AI core task,227,124,"""424.37""","""1619057109861361276""","""1619057109861785646"""
0_11_discriminator/resblock_down_8/skip/conv_0/Conv2D,kernel AI core task,227,125,"""228.95""","""1619057109861785756""","""1619057109862014706"""
0_11_discriminator/resblock_down_8/res2/conv_0/Conv2Ddiscriminator/add_3,kernel AI core task,227,126,"""420.21""","""1619057109862014816""","""1619057109862435026"""
0_11_discriminator/resblock_down_16/res1/batch_norm/FusedBatchNormV3_Reduce,kernel AI core task,227,127,"""22.93""","""1619057109862435136""","""1619057109862458066"""
0_11_discriminator/resblock_down_16/res1/batch_norm/FusedBatchNormV3_Updatediscriminator/resblock_down_16/res1/Relu,kernel AI core task,227,128,"""22.52""","""1619057109862458166""","""1619057109862480686"""
0_11_trans_Cast_604,kernel AI core task,227,129,"""67.72""","""1619057109862480786""","""1619057109862548506"""
0_11_trans_TransData_605,kernel AI core task,227,130,"""26.47""","""1619057109862548606""","""1619057109862575076"""
0_11_trans_TransData_603,kernel AI core task,227,131,"""2.54""","""1619057109862575176""","""1619057109862577716"""
0_11_discriminator/resblock_down_16/res1/conv_0/ArithmeticOptimizer/FoldTransposeIntoMatMul_MatMul,kernel AI core task,227,132,"""12.35""","""1619057109862577826""","""1619057109862590176"""
0_11_trans_TransData_606,kernel AI core task,227,133,"""4.86""","""1619057109862590276""","""1619057109862595136"""
0_11_discriminator/resblock_down_16/res1/conv_0/l2_normalize,kernel AI core task,227,134,"""4.95""","""1619057109862595236""","""1619057109862600186"""
0_11_trans_TransData_2925,kernel AI core task,227,135,"""5.37""","""1619057109862600286""","""1619057109862605656"""
0_11_discriminator/resblock_down_16/res1/conv_0/MatMul_1,kernel AI core task,227,136,"""14.05""","""1619057109862605756""","""1619057109862619806"""
0_11_trans_TransData_610,kernel AI core task,227,137,"""2.25""","""1619057109862619906""","""1619057109862622156"""
0_11_discriminator/resblock_down_16/res1/conv_0/l2_normalize_1,kernel AI core task,227,138,"""2.11""","""1619057109862622256""","""1619057109862624366"""
0_11_discriminator/resblock_down_16/res1/conv_0/Assign,kernel AI core task,227,139,"""1.31""","""1619057109862624466""","""1619057109862625776"""
0_11_discriminator_1/resblock_down_16/res1/conv_0/Assign,kernel AI core task,227,140,"""1.09""","""1619057109862625876""","""1619057109862626966"""
0_11_trans_TransData_2806,kernel AI core task,227,141,"""2.22""","""1619057109862627076""","""1619057109862629296"""
0_11_discriminator/resblock_down_16/res1/conv_0/ArithmeticOptimizer/FoldTransposeIntoMatMul_MatMul_3,kernel AI core task,227,142,"""2.42""","""1619057109862629396""","""1619057109862631816"""
0_11_trans_TransData_2085,kernel AI core task,227,143,"""1.08""","""1619057109862631916""","""1619057109862632996"""
0_11_trans_Cast_2086,kernel AI core task,227,144,"""1.01""","""1619057109862633106""","""1619057109862634116"""
0_11_discriminator/resblock_down_16/res1/conv_0/truediv,kernel AI core task,227,145,"""99.37""","""1619057109862634216""","""1619057109862733586"""
0_11_discriminator_1/resblock_down_16/res1/conv_0/truediv,kernel AI core task,227,146,"""94.44""","""1619057109862733686""","""1619057109862828126"""
0_11_gradients/discriminator/resblock_down_16/res1/conv_0/truediv_grad/Neggradients/discriminator/resblock_down_16/res1/conv_0/truediv_grad/RealDiv_1gradients/discriminator/resblock_down_16/res1/conv_0/truediv_grad/RealDiv_2,kernel AI core task,227,147,"""138.59""","""1619057109862828226""","""1619057109862966816"""
0_11_trans_Cast_2061,kernel AI core task,227,148,"""69.24""","""1619057109862966916""","""1619057109863036156"""
0_11_trans_Cast_1794,kernel AI core task,227,149,"""67.41""","""1619057109863036266""","""1619057109863103676"""
0_11_trans_TransData_2062,kernel AI core task,227,150,"""1720.71""","""1619057109863103776""","""1619057109864824486"""
0_11_trans_TransData_1795,kernel AI core task,227,151,"""1720.73""","""1619057109864824586""","""1619057109866545316"""
0_11_discriminator/resblock_down_16/res1/conv_0/Conv2Ddiscriminator/resblock_down_16/res2/batch_norm/FusedBatchNormV3_Reduce,kernel AI core task,227,152,"""590.31""","""1619057109866545416""","""1619057109867135726"""
0_11_discriminator/resblock_down_16/res2/batch_norm/FusedBatchNormV3_Updatediscriminator/resblock_down_16/res2/Relu,kernel AI core task,227,153,"""33.05""","""1619057109867135826""","""1619057109867168876"""
0_11_trans_Cast_648,kernel AI core task,227,154,"""130.79""","""1619057109867168986""","""1619057109867299776"""
0_11_trans_TransData_649,kernel AI core task,227,155,"""66.42""","""1619057109867299876""","""1619057109867366296"""
0_11_trans_TransData_647,kernel AI core task,227,156,"""2.55""","""1619057109867366406""","""1619057109867368956"""
0_11_discriminator/resblock_down_16/res2/conv_0/ArithmeticOptimizer/FoldTransposeIntoMatMul_MatMul,kernel AI core task,227,157,"""24.19""","""1619057109867369066""","""1619057109867393256"""
0_11_trans_TransData_650,kernel AI core task,227,158,"""8.35""","""1619057109867393356""","""1619057109867401706"""
0_11_discriminator/resblock_down_16/res2/conv_0/l2_normalize,kernel AI core task,227,159,"""7.91""","""1619057109867401806""","""1619057109867409716"""
0_11_trans_TransData_2928,kernel AI core task,227,160,"""8.73""","""1619057109867409816""","""1619057109867418546"""
0_11_discriminator/resblock_down_16/res2/conv_0/MatMul_1,kernel AI core task,227,161,"""23.56""","""1619057109867418646""","""1619057109867442206"""
0_11_trans_TransData_654,kernel AI core task,227,162,"""2.31""","""1619057109867442316""","""1619057109867444626"""
0_11_discriminator/resblock_down_16/res2/conv_0/l2_normalize_1,kernel AI core task,227,163,"""2.17""","""1619057109867444726""","""1619057109867446896"""
0_11_discriminator/resblock_down_16/res2/conv_0/Assign,kernel AI core task,227,164,"""1.23""","""1619057109867446996""","""1619057109867448226"""
0_11_discriminator_1/resblock_down_16/res2/conv_0/Assign,kernel AI core task,227,165,"""1.05""","""1619057109867448326""","""1619057109867449376"""
0_11_trans_TransData_2809,kernel AI core task,227,166,"""2.25""","""1619057109867449476""","""1619057109867451726"""
0_11_discriminator/resblock_down_16/res2/conv_0/ArithmeticOptimizer/FoldTransposeIntoMatMul_MatMul_3,kernel AI core task,227,167,"""2.37""","""1619057109867451826""","""1619057109867454196"""
0_11_trans_TransData_2031,kernel AI core task,227,168,"""1.19""","""1619057109867454296""","""1619057109867455486"""
0_11_trans_Cast_2032,kernel AI core task,227,169,"""1.15""","""1619057109867455596""","""1619057109867456746"""
0_11_discriminator/resblock_down_16/res2/conv_0/truediv,kernel AI core task,227,170,"""189.32""","""1619057109867456856""","""1619057109867646176"""
0_11_discriminator_1/resblock_down_16/res2/conv_0/truediv,kernel AI core task,227,171,"""183.59""","""1619057109867646276""","""1619057109867829866"""
0_11_gradients/discriminator/resblock_down_16/res2/conv_0/truediv_grad/Neggradients/discriminator/resblock_down_16/res2/conv_0/truediv_grad/RealDiv_1gradients/discriminator/resblock_down_16/res2/conv_0/truediv_grad/RealDiv_2,kernel AI core task,227,172,"""269.94""","""1619057109867829966""","""1619057109868099906"""
0_11_trans_Cast_2011,kernel AI core task,227,173,"""132.89""","""1619057109868100006""","""1619057109868232896"""
0_11_trans_Cast_1814,kernel AI core task,227,174,"""133.66""","""1619057109868233006""","""1619057109868366666"""
0_11_trans_TransData_2012,kernel AI core task,227,175,"""2568.08""","""1619057109868366776""","""1619057109870934856"""
0_11_trans_TransData_1815,kernel AI core task,227,176,"""2567.54""","""1619057109870934956""","""1619057109873502496"""
0_11_trans_Cast_674,kernel AI core task,227,177,"""67.69""","""1619057109873502596""","""1619057109873570286"""
0_11_trans_TransData_675,kernel AI core task,227,178,"""44.42""","""1619057109873570386""","""1619057109873614806"""
0_11_trans_TransData_673,kernel AI core task,227,179,"""2.62""","""1619057109873614906""","""1619057109873617526"""
0_11_discriminator/resblock_down_16/skip/conv_0/ArithmeticOptimizer/FoldTransposeIntoMatMul_MatMul,kernel AI core task,227,180,"""18.46""","""1619057109873617626""","""1619057109873636086"""
0_11_trans_TransData_676,kernel AI core task,227,181,"""4.82""","""1619057109873636196""","""1619057109873641016"""
0_11_discriminator/resblock_down_16/skip/conv_0/l2_normalize,kernel AI core task,227,182,"""5.04""","""1619057109873641126""","""1619057109873646166"""
0_11_trans_TransData_2931,kernel AI core task,227,183,"""5.29""","""1619057109873646266""","""1619057109873651556"""
0_11_discriminator/resblock_down_16/skip/conv_0/MatMul_1,kernel AI core task,227,184,"""15.57""","""1619057109873651666""","""1619057109873667236"""
0_11_trans_TransData_680,kernel AI core task,227,185,"""2.16""","""1619057109873667346""","""1619057109873669506"""
0_11_discriminator/resblock_down_16/skip/conv_0/l2_normalize_1,kernel AI core task,227,186,"""2.19""","""1619057109873669616""","""1619057109873671806"""
0_11_discriminator/resblock_down_16/skip/conv_0/Assign,kernel AI core task,227,187,"""1.36""","""1619057109873671906""","""1619057109873673266"""
0_11_discriminator_1/resblock_down_16/skip/conv_0/Assign,kernel AI core task,227,188,"""1.08""","""1619057109873673376""","""1619057109873674456"""
0_11_trans_TransData_2812,kernel AI core task,227,189,"""2.1""","""1619057109873674556""","""1619057109873676656"""
0_11_discriminator/resblock_down_16/skip/conv_0/ArithmeticOptimizer/FoldTransposeIntoMatMul_MatMul_3,kernel AI core task,227,190,"""2.28""","""1619057109873676756""","""1619057109873679036"""
0_11_trans_TransData_2033,kernel AI core task,227,191,"""1.51""","""1619057109873679136""","""1619057109873680646"""
0_11_trans_Cast_2034,kernel AI core task,227,192,"""1.36""","""1619057109873680756""","""1619057109873682116"""
0_11_discriminator/resblock_down_16/skip/conv_0/truediv,kernel AI core task,227,193,"""100.13""","""1619057109873682216""","""1619057109873782346"""
0_11_discriminator_1/resblock_down_16/skip/conv_0/truediv,kernel AI core task,227,194,"""92.96""","""1619057109873782446""","""1619057109873875406"""
0_11_gradients/discriminator/resblock_down_16/skip/conv_0/truediv_grad/Neggradients/discriminator/resblock_down_16/skip/conv_0/truediv_grad/RealDiv_1gradients/discriminator/resblock_down_16/skip/conv_0/truediv_grad/RealDiv_2,kernel AI core task,227,195,"""138.4""","""1619057109873875516""","""1619057109874013916"""
0_11_trans_Cast_2013,kernel AI core task,227,196,"""68.76""","""1619057109874014016""","""1619057109874082776"""
0_11_trans_Cast_1776,kernel AI core task,227,197,"""66.53""","""1619057109874082876""","""1619057109874149406"""
0_11_trans_TransData_2014,kernel AI core task,227,198,"""1721.39""","""1619057109874149506""","""1619057109875870896"""
0_11_trans_TransData_1777,kernel AI core task,227,199,"""1719.74""","""1619057109875870996""","""1619057109877590736"""
0_11_discriminator/resblock_down_16/skip/conv_0/Conv2D,kernel AI core task,227,200,"""574.88""","""1619057109877590846""","""1619057109878165726"""
0_11_discriminator/resblock_down_16/res2/conv_0/Conv2Ddiscriminator/add_4,kernel AI core task,227,201,"""1484.16""","""1619057109878165836""","""1619057109879649996"""
0_11_trans_Cast_700,kernel AI core task,227,202,"""108.16""","""1619057109879650096""","""1619057109879758256"""
0_11_trans_TransData_701,kernel AI core task,227,203,"""44.55""","""1619057109879758356""","""1619057109879802906"""
0_11_trans_TransData_699,kernel AI core task,227,204,"""2.3""","""1619057109879803006""","""1619057109879805306"""
0_11_discriminator/resblock/res1/conv_0/ArithmeticOptimizer/FoldTransposeIntoMatMul_MatMul,kernel AI core task,227,205,"""23.48""","""1619057109879805406""","""1619057109879828886"""
0_11_trans_TransData_702,kernel AI core task,227,206,"""8.3""","""1619057109879828986""","""1619057109879837286"""
0_11_discriminator/resblock/res1/conv_0/l2_normalize,kernel AI core task,227,207,"""7.89""","""1619057109879837386""","""1619057109879845276"""
0_11_trans_TransData_2910,kernel AI core task,227,208,"""8.71""","""1619057109879845386""","""1619057109879854096"""
0_11_discriminator/resblock/res1/conv_0/MatMul_1,kernel AI core task,227,209,"""23.13""","""1619057109879854196""","""1619057109879877326"""
0_11_trans_TransData_706,kernel AI core task,227,210,"""2.35""","""1619057109879877436""","""1619057109879879786"""
0_11_discriminator/resblock/res1/conv_0/l2_normalize_1,kernel AI core task,227,211,"""2.19""","""1619057109879879896""","""1619057109879882086"""
0_11_discriminator/resblock/res1/conv_0/Assign,kernel AI core task,227,212,"""1.18""","""1619057109879882196""","""1619057109879883376"""
0_11_discriminator_1/resblock/res1/conv_0/Assign,kernel AI core task,227,213,"""1.05""","""1619057109879883476""","""1619057109879884526"""
0_11_trans_TransData_2791,kernel AI core task,227,214,"""2.23""","""1619057109879884626""","""1619057109879886856"""
0_11_discriminator/resblock/res1/conv_0/ArithmeticOptimizer/FoldTransposeIntoMatMul_MatMul_3,kernel AI core task,227,215,"""2.33""","""1619057109879886966""","""1619057109879889296"""
0_11_trans_TransData_2015,kernel AI core task,227,216,"""1.18""","""1619057109879889396""","""1619057109879890576"""
0_11_trans_Cast_2016,kernel AI core task,227,217,"""1.16""","""1619057109879890676""","""1619057109879891836"""
0_11_discriminator/resblock/res1/conv_0/truediv,kernel AI core task,227,218,"""198.36""","""1619057109879891936""","""1619057109880090296"""
0_11_discriminator_1/resblock/res1/conv_0/truediv,kernel AI core task,227,219,"""184.78""","""1619057109880090406""","""1619057109880275186"""
0_11_gradients/discriminator/resblock/res1/conv_0/truediv_grad/Neggradients/discriminator/resblock/res1/conv_0/truediv_grad/RealDiv_1gradients/discriminator/resblock/res1/conv_0/truediv_grad/RealDiv_2,kernel AI core task,227,220,"""270.51""","""1619057109880275286""","""1619057109880545796"""
0_11_trans_Cast_1991,kernel AI core task,227,221,"""135.4""","""1619057109880545896""","""1619057109880681296"""
0_11_trans_Cast_1816,kernel AI core task,227,222,"""132.16""","""1619057109880681396""","""1619057109880813556"""
0_11_trans_TransData_1992,kernel AI core task,227,223,"""2568.03""","""1619057109880813666""","""1619057109883381696"""
0_11_trans_TransData_1817,kernel AI core task,227,224,"""2567.57""","""1619057109883381796""","""1619057109885949366"""
0_11_discriminator/resblock/res1/conv_0/Conv2Ddiscriminator/resblock/res1/batch_norm/FusedBatchNormV3_Reduce,kernel AI core task,227,225,"""1458.39""","""1619057109885949476""","""1619057109887407866"""
0_11_discriminator/resblock/res1/batch_norm/FusedBatchNormV3_Updatediscriminator/resblock/res1/Relu,kernel AI core task,227,226,"""33.41""","""1619057109887407966""","""1619057109887441376"""
0_11_trans_Cast_744,kernel AI core task,227,227,"""119.51""","""1619057109887441486""","""1619057109887560996"""
0_11_trans_TransData_745,kernel AI core task,227,228,"""71.75""","""1619057109887561096""","""1619057109887632846"""
0_11_trans_TransData_743,kernel AI core task,227,229,"""2.55""","""1619057109887632956""","""1619057109887635506"""
0_11_discriminator/resblock/res2/conv_0/ArithmeticOptimizer/FoldTransposeIntoMatMul_MatMul,kernel AI core task,227,230,"""25.3""","""1619057109887635606""","""1619057109887660906"""
0_11_trans_TransData_746,kernel AI core task,227,231,"""8.4""","""1619057109887661006""","""1619057109887669406"""
0_11_discriminator/resblock/res2/conv_0/l2_normalize,kernel AI core task,227,232,"""7.76""","""1619057109887669506""","""1619057109887677266"""
0_11_trans_TransData_2913,kernel AI core task,227,233,"""8.84""","""1619057109887677366""","""1619057109887686206"""
0_11_discriminator/resblock/res2/conv_0/MatMul_1,kernel AI core task,227,234,"""25.64""","""1619057109887686316""","""1619057109887711956"""
0_11_trans_TransData_750,kernel AI core task,227,235,"""2.15""","""1619057109887712056""","""1619057109887714206"""
0_11_discriminator/resblock/res2/conv_0/l2_normalize_1,kernel AI core task,227,236,"""1.99""","""1619057109887714306""","""1619057109887716296"""
0_11_discriminator/resblock/res2/conv_0/Assign,kernel AI core task,227,237,"""1.23""","""1619057109887716396""","""1619057109887717626"""
0_11_discriminator_1/resblock/res2/conv_0/Assign,kernel AI core task,227,238,"""1.24""","""1619057109887717726""","""1619057109887718966"""
0_11_trans_TransData_2794,kernel AI core task,227,239,"""2.34""","""1619057109887719066""","""1619057109887721406"""
0_11_discriminator/resblock/res2/conv_0/ArithmeticOptimizer/FoldTransposeIntoMatMul_MatMul_3,kernel AI core task,227,240,"""2.11""","""1619057109887721516""","""1619057109887723626"""
0_11_trans_TransData_1961,kernel AI core task,227,241,"""1.21""","""1619057109887723726""","""1619057109887724936"""
0_11_trans_Cast_1962,kernel AI core task,227,242,"""1.31""","""1619057109887725036""","""1619057109887726346"""
0_11_discriminator/resblock/res2/conv_0/truediv,kernel AI core task,227,243,"""191.91""","""1619057109887726446""","""1619057109887918356"""
0_11_discriminator_1/resblock/res2/conv_0/truediv,kernel AI core task,227,244,"""183.15""","""1619057109887918456""","""1619057109888101606"""
0_11_gradients/discriminator/resblock/res2/conv_0/truediv_grad/Neggradients/discriminator/resblock/res2/conv_0/truediv_grad/RealDiv_1gradients/discriminator/resblock/res2/conv_0/truediv_grad/RealDiv_2,kernel AI core task,227,245,"""270.51""","""1619057109888101706""","""1619057109888372216"""
0_11_trans_Cast_1929,kernel AI core task,227,246,"""134.02""","""1619057109888372316""","""1619057109888506336"""
0_11_trans_Cast_1836,kernel AI core task,227,247,"""133.47""","""1619057109888506446""","""1619057109888639916"""
0_11_trans_TransData_1930,kernel AI core task,227,248,"""2566.08""","""1619057109888640016""","""1619057109891206096"""
0_11_trans_TransData_1837,kernel AI core task,227,249,"""2566.12""","""1619057109891206196""","""1619057109893772316"""
0_11_discriminator/resblock/res2/conv_0/Conv2Ddiscriminator/resblock/res2/batch_norm/FusedBatchNormV3_Reduce,kernel AI core task,227,250,"""1438.33""","""1619057109893772426""","""1619057109895210756"""
0_11_discriminator/resblock/res2/batch_norm/FusedBatchNormV3_Updatediscriminator/resblock/adddiscriminator/Relu,kernel AI core task,227,251,"""42.07""","""1619057109895210866""","""1619057109895252936"""
0_11_trans_TransData_786,kernel AI core task,227,252,"""11.53""","""1619057109895253046""","""1619057109895264576"""
0_11_discriminator/Sum,kernel AI core task,227,253,"""8.62""","""1619057109895264676""","""1619057109895273296"""
0_11_trans_TransData_1877,kernel AI core task,227,254,"""3.04""","""1619057109895273396""","""1619057109895276436"""
0_11_trans_Cast_789,kernel AI core task,227,255,"""1.72""","""1619057109895276546""","""1619057109895278266"""
0_11_trans_TransData_3204,kernel AI core task,227,256,"""10.67""","""1619057109895278366""","""1619057109895289036"""
0_11_fusion_cast_1,kernel AI core task,227,257,"""3.52""","""1619057109895289136""","""1619057109895292656"""
0_11_trans_TransData_788,kernel AI core task,227,258,"""1.79""","""1619057109895292756""","""1619057109895294546"""
0_11_discriminator/D_logit/ArithmeticOptimizer/FoldTransposeIntoMatMul_MatMul,kernel AI core task,227,259,"""4.71""","""1619057109895294646""","""1619057109895299356"""
0_11_trans_TransData_791,kernel AI core task,227,260,"""2.31""","""1619057109895299456""","""1619057109895301766"""
0_11_discriminator/D_logit/l2_normalize,kernel AI core task,227,261,"""2.07""","""1619057109895301866""","""1619057109895303936"""
0_11_trans_TransData_2907,kernel AI core task,227,262,"""2.47""","""1619057109895304036""","""1619057109895306506"""
0_11_discriminator/D_logit/MatMul_1,kernel AI core task,227,263,"""2.36""","""1619057109895306606""","""1619057109895308966"""
0_11_discriminator/D_logit/l2_normalize_1/Square,kernel AI core task,227,264,"""1.17""","""1619057109895309076""","""1619057109895310246"""
0_11_trans_TransData_797,kernel AI core task,227,265,"""1.16""","""1619057109895310346""","""1619057109895311506"""
0_11_discriminator/D_logit/l2_normalize_1/Maximum,kernel AI core task,227,266,"""1.5""","""1619057109895311606""","""1619057109895313106"""
0_11_trans_TransData_799,kernel AI core task,227,267,"""1.31""","""1619057109895313206""","""1619057109895314516"""
0_11_discriminator/D_logit/l2_normalize_1/Rsqrtdiscriminator/D_logit/l2_normalize_1,kernel AI core task,227,268,"""1.34""","""1619057109895314626""","""1619057109895315966"""
0_11_discriminator/D_logit/MatMul_3,kernel AI core task,227,269,"""1.28""","""1619057109895316066""","""1619057109895317346"""
0_11_trans_TransData_805,kernel AI core task,227,270,"""1.21""","""1619057109895317446""","""1619057109895318656"""
0_11_trans_TransData_1890,kernel AI core task,227,271,"""1.08""","""1619057109895318756""","""1619057109895319836"""
0_11_discriminator/D_logit/Assign,kernel AI core task,227,272,"""1.13""","""1619057109895319946""","""1619057109895321076"""
0_11_discriminator_1/D_logit/Assign,kernel AI core task,227,273,"""0.99""","""1619057109895321186""","""1619057109895322176"""
0_11_trans_Cast_814,kernel AI core task,227,274,"""1.39""","""1619057109895322276""","""1619057109895323666"""
0_11_discriminator/D_logit/truediv,kernel AI core task,227,275,"""1.85""","""1619057109895323766""","""1619057109895325616"""
0_11_discriminator_1/D_logit/truediv,kernel AI core task,227,276,"""1.27""","""1619057109895325726""","""1619057109895326996"""
0_11_gradients/discriminator/D_logit/truediv_grad/Neggradients/discriminator/D_logit/truediv_grad/RealDiv_1gradients/discriminator/D_logit/truediv_grad/RealDiv_2,kernel AI core task,227,277,"""1.74""","""1619057109895327096""","""1619057109895328836"""
0_11_trans_TransData_1876,kernel AI core task,227,278,"""12.27""","""1619057109895328936""","""1619057109895341206"""
0_11_trans_TransData_1858,kernel AI core task,227,279,"""11.81""","""1619057109895341306""","""1619057109895353116"""
0_11_trans_TransData_1897,kernel AI core task,227,280,"""10.88""","""1619057109895353216""","""1619057109895364096"""
0_11_discriminator/D_logit/MatMul_4,kernel AI core task,227,281,"""2.39""","""1619057109895364196""","""1619057109895366586"""
0_11_trans_Cast_1893,kernel AI core task,227,282,"""3.57""","""1619057109895366696""","""1619057109895370266"""
0_11_trans_TransData_824,kernel AI core task,227,283,"""1.79""","""1619057109895370366""","""1619057109895372156"""
0_11_trans_Cast_825,kernel AI core task,227,284,"""1.08""","""1619057109895372266""","""1619057109895373346"""
0_11_discriminator/D_logit/addsub,kernel AI core task,227,285,"""1.53""","""1619057109895373446""","""1619057109895374976"""
0_11_trans_TransData_826,kernel AI core task,227,286,"""4.98""","""1619057109895375086""","""1619057109895380066"""
0_11_Relugradients/Relu_grad/ReluGradgradients/sub_grad/Neg,kernel AI core task,227,287,"""2.04""","""1619057109895380166""","""1619057109895382206"""
0_11_trans_Cast_1873,kernel AI core task,227,288,"""1.3""","""1619057109895382316""","""1619057109895383616"""
0_11_trans_TransData_1872,kernel AI core task,227,289,"""1.75""","""1619057109895383716""","""1619057109895385466"""
0_11_trans_TransData_827,kernel AI core task,227,290,"""1.72""","""1619057109895385576""","""1619057109895387296"""
0_11_gradients/discriminator/D_logit/add_grad/Sum,kernel AI core task,227,291,"""1.45""","""1619057109895387396""","""1619057109895388846"""
0_11_Mean,kernel AI core task,227,292,"""1.4""","""1619057109895388946""","""1619057109895390346"""
0_11_gradients/discriminator/D_logit/MatMul_4_grad/MatMul,kernel AI core task,227,293,"""4.4""","""1619057109895390456""","""1619057109895394856"""
0_11_gradients/discriminator/D_logit/MatMul_4_grad/MatMul_1,kernel AI core task,227,294,"""4.73""","""1619057109895394966""","""1619057109895399696"""
0_11_trans_TransData_1903,kernel AI core task,227,295,"""2.54""","""1619057109895399796""","""1619057109895402336"""
0_11_trans_TransData_1889,kernel AI core task,227,296,"""4.88""","""1619057109895402446""","""1619057109895407326"""
0_11_gradients/discriminator/D_logit/truediv_grad/RealDiv,kernel AI core task,227,297,"""1.31""","""1619057109895407426""","""1619057109895408736"""
0_11_gradients/discriminator/D_logit/truediv_grad/mul,kernel AI core task,227,298,"""3.46""","""1619057109895408836""","""1619057109895412296"""
0_11_trans_TransData_3108,kernel AI core task,227,299,"""12.24""","""1619057109895412396""","""1619057109895424636"""
0_11_trans_TransData_1901,kernel AI core task,227,300,"""4.12""","""1619057109895424746""","""1619057109895428866"""
0_11_gradients/discriminator/D_logit/truediv_grad/Sum_1,kernel AI core task,227,301,"""1.49""","""1619057109895428966""","""1619057109895430456"""
0_11_trans_TransData_2786,kernel AI core task,227,302,"""1.38""","""1619057109895430566""","""1619057109895431946"""
0_11_gradients/discriminator/D_logit/MatMul_3_grad/MatMul,kernel AI core task,227,303,"""1.42""","""1619057109895432056""","""1619057109895433476"""
0_11_trans_TransData_831,kernel AI core task,227,304,"""17.22""","""1619057109895433576""","""1619057109895450796"""
0_11_trans_TransData_829,kernel AI core task,227,305,"""14.71""","""1619057109895450896""","""1619057109895465606"""
0_11_generator/dense/ArithmeticOptimizer/FoldTransposeIntoMatMul_MatMul,kernel AI core task,227,306,"""11.54""","""1619057109895465716""","""1619057109895477256"""
0_11_trans_TransData_832,kernel AI core task,227,307,"""1.56""","""1619057109895477366""","""1619057109895478926"""
0_11_generator/dense/l2_normalize,kernel AI core task,227,308,"""2.29""","""1619057109895479026""","""1619057109895481316"""
0_11_trans_TransData_833,kernel AI core task,227,309,"""1.48""","""1619057109895481426""","""1619057109895482906"""
0_11_generator/dense/MatMul_1,kernel AI core task,227,310,"""7.88""","""1619057109895483006""","""1619057109895490886"""
0_11_trans_TransData_836,kernel AI core task,227,311,"""13.25""","""1619057109895490986""","""1619057109895504236"""
0_11_generator/dense/l2_normalize_1,kernel AI core task,227,312,"""11.55""","""1619057109895504336""","""1619057109895515886"""
0_11_generator/dense/Assign,kernel AI core task,227,313,"""4.58""","""1619057109895515986""","""1619057109895520566"""
0_11_trans_TransData_839,kernel AI core task,227,314,"""14.17""","""1619057109895520666""","""1619057109895534836"""
0_11_generator/dense/ArithmeticOptimizer/FoldTransposeIntoMatMul_MatMul_3,kernel AI core task,227,315,"""12.04""","""1619057109895534936""","""1619057109895546976"""
0_11_trans_TransData_843,kernel AI core task,227,316,"""1.0""","""1619057109895547076""","""1619057109895548076"""
0_11_generator/dense/truediv,kernel AI core task,227,317,"""7.97""","""1619057109895548186""","""1619057109895556156"""
0_11_trans_TransData_846,kernel AI core task,227,318,"""16.35""","""1619057109895556266""","""1619057109895572616"""
0_11_generator/dense/MatMul_4,kernel AI core task,227,319,"""6.48""","""1619057109895572726""","""1619057109895579206"""
0_11_generator/dense/add,kernel AI core task,227,320,"""6.18""","""1619057109895579306""","""1619057109895585486"""
0_11_trans_TransData_850,kernel AI core task,227,321,"""12.0""","""1619057109895585586""","""1619057109895597586"""
,event record task,227,322,"""0.01""","""1619057109895597686""","""1619057109895597696"""
,event reset task,175,3,"""0.05""","""1619057109895618296""","""1619057109895618346"""
0_11_trans_Cast_851,kernel AI core task,175,4,"""7.3""","""1619057109895618456""","""1619057109895625756"""
0_11_trans_TransData_872,kernel AI core task,175,5,"""44.47""","""1619057109895625866""","""1619057109895670336"""
0_11_generator/resblock_up_16/res1/batch_norm/moments/mean,kernel AI core task,175,6,"""7.84""","""1619057109895670436""","""1619057109895678276"""
0_11_trans_Cast_852,kernel AI core task,175,7,"""1.39""","""1619057109895678386""","""1619057109895679776"""
0_11_trans_Cast_873,kernel AI core task,175,8,"""1.44""","""1619057109895679886""","""1619057109895681326"""
0_11_generator/resblock_up_16/res1/batch_norm/moments/SquaredDifference,kernel AI core task,175,9,"""6.83""","""1619057109895681426""","""1619057109895688256"""
0_11_trans_TransData_875,kernel AI core task,175,10,"""3.87""","""1619057109895688356""","""1619057109895692226"""
